ID;menmonico;Nome;Prazo;Sinonímia;Coleta;Material;Metodologia;coleta2;encaminhamento;finalidade do exame;interferente;paciente;instruções Material Coleta;instruções Paciente;instruções Coleta;Instruções Encaminhamento
819;CITLG;CITOMEGALOVIRUS;01 dia útil;Anticorpos anticitomegalovírus, CMV, Citomegalia CMV, Citomegalovírus IgG/IgM, Sorologia citomegalovirus;COLETA1, Volume2;Soro;Quimioluminescência;"- (CITOMV)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (CITOMV)VOLUME MÍNIMO:2 mL. ";- (CITOMV)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 3 dias.Refrigerada (2°C-8°C): 10 dias.Congelada (-20°C): 30 dias.;A detecção do anticorpo IgG é útil para avaliar se um indivíduo já foi infectado pelo citomegalovírus e pesquisar a presença de anticorpos do tipo IgM contra o citomegalovirus. Um resultado inicial negativo não exclui a possibilidade de infecção pelo citomegalovirus., sendo recomendada a repetição 2 a 3 semanas após a suspeita de infecção.;;- (CITOMV)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
820;CITAG;CITOMEGALOVIRUS, AVIDEZ, IGG;08 dias úteis;"Avidez para CMV;, Avidez de IgG,  Quantitativa";COLETA1, Volume1;Soro;Imunoenzimático;"- (CITAG)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (CITAG)VOLUME MÍNIMO:1 mL. ";"- (CITAG)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 90 dias.

";O teste é útil na confirmação  de infecções primárias causdas pelo CMV nos últimos 3 meses (quando a reação para IgM se mostra positiva), de infecções passadas e reinfecções.;;"- (CITAG)PACIENTE:Esse exame não é realizado em crianças com menos de 1 ano de idade.
JEJUM:Não se aplica.
";;;;
822;RUBG;RUBEOLA;01 dia útil;Anticorpos para rubéola IgG/IgM,  Sorologia para rubéola, Sarampo Alemão;COLETA1, Volume2;Soro;Quimioluminescência;"- (RUB)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (RUB)VOLUME MÍNIMO:2 mL. ";- (RUB)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 3 dias.Refrigerada (2°C-8°C): 10 dias.Congelada (-20°C): 30 dias.;Exame sorológico utilizado para detecção de anticorpos que são produzidos pelo sistema imunológico do indivíduo em resposta à imunização ou infecção pelo vírus da rubéola.;;- (RUB)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
823;TOXMIF;IMUNOFLUORESCENCIA TOXOPLASMOSE/IGM;03 dias úteis;Toxoplasmose - Imunofluorescencia/IGM, PESQUISA DE ANTICORPOS IGM PARA TOXOPLASMA;Volume1;Soro;Imunofluorescência Indireta;"- (TOXMIF)VOLUME MÍNIMO:1 mL. ";;;;;"
Soro";"Instruções de jejum:
Jejum de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"
Soro

Coleta: punção venosa em tubo seco (tampa 
vermelha) ou seco com gel separador (tampa 
amarela).";"
Acondicionamento:
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem e separação: refrigerado (2ºC a 8ºC)

AFIP"
824;TSTC;TS / TC;01 dia útil;;;;Duke;;;;;;;;;
825;CITLG;CITOMEGALOVIRUS IGG;01 dia útil;Citomegalovirus,  anticorpos IgG, CMV,  anticorpos IgG, Sorologia para Citomegalovírus IgG;COLETA1, Volume2;Soro;Quimioluminescência;"- (CITOG)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (CITOG)VOLUME MÍNIMO:2 mL. ";- (CITOG)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 3 dias.Refrigerada (2°C-8°C): 10 dias.Congelada (-20°C): 30 dias.;A detecção do anticorpo IgG é útil para avaliar se um indivíduo já foi infectado pelo citomegalovírus.;;- (CITOG)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
826;TLSA;TESTOSTERONA LIVRE;01 dia útil;Testosterona Livre Calculada, Testo Livre;COLETA1, Volume1;Soro;Cálculo*;"- (TTL)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (TTL)VOLUME MÍNIMO:1 mL. ";"- (TTL)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.
ESTABILIDADE:Temperatura ambiente: 2 dias.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 30 dias.
";A testosterona é um hormônio androgênico cuja  maior parte circula em ligação à SHBG e à albumina, enquanto uma pequena parte circula como hormônio livre. A dosagem de testosterona livre pode auxiliar no diagnóstico de puberdade precoce, hipogonadismo masculino, síndrome dos ovários policísticos, tumores ovarianos e adrenais.;"- (TTL)INTERFERENTES:Reposição hormonal à base de testosterona (oral, gel, intramuscular, implante hormonal).
O uso de biotina e suplementos alimentares que contenham biotina.
";"- (TTL)PACIENTE:Preferencialmente a coleta deve ser realizada até duas horas após o horário habitual de acordar ou conforme solicitação médica.
Medicação: Informar as medicações em uso, inclusive os anticoncepcionais e anabolizantes. Informar se está ou esteve em uso de reposição hormonal à base
de testosterona (oral, gel, intramuscular, implante hormonal).
Pacientes em uso de gel de testosterona não devem aplicar a medicação nos antebraços (aplicá-los em outros locais do corpo) nos 2 dias que antecedem o
exame, para evitar a possibilidade de contaminação da agulha e amostra com o gel.
O uso de biotina e suplementos alimentares que contenham biotina devem ser suspensos 3 dias antes da coleta.
JEJUM:Jejum de 8 hs, ou conforme orientações do profissional solicitante. Estudos epidemiológicos evidenciam que a ausência do jejum pode
levar a uma diminuição nos níveis medianos de testosterona total.";;;;
827;ATRE;ANTICORPOS TREPONEMICOS;02 dias úteis;Treponema Pallidum,  Anticorpos Totais, Treponema;COLETA1, Volume2;Soro;Quimioluminescência;"- (ATRE)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (ATRE)VOLUME MÍNIMO:2 mL. ";- (ATRE)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 3 dias.Refrigerada (2°C-8°C): 7 dias.Congelada (-20°C): 30 dias.;É indicado como meio auxiliar no diagnóstico de infecção por sífilis e como teste de triagem para evitar a transmissão do Treponema pallidum a receptores de sangue, componentes sanguíneos, células, tecidos e órgãos.;;- (ATRE)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
828;MONO;MONONUCLEOSE;03 dias úteis;"Sorologia, para Mononucleose; Epstein-Barr Virus; Anticorpos, heterófilos de Forssman.";COLETA1, Volume1;Soro;Aglutinação;"- (MONO)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (MONO)VOLUME MÍNIMO:1 mL. ";- (MONO)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 2 dias.Congelada (-20°C): 30 dias.;;;- (MONO)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;"
Soro";"Instruções de jejum:
Jejum de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"
Soro

Coleta: punção venosa em tubo seco (tampa 
vermelha) ou seco com gel separador (tampa 
amarela).";"
Acondicionamento:
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem e separação: refrigerado (2ºC a 8ºC)

AFIP"
831;URIC;ACIDO URICO, URINA 24H;01 dia útil;Uricosúria 24 horas, Dosagem de ácido úrico em urina 24 horas, Ácido úrico urina 24H, Ácido úrico urinário 24H;COLETA163;Urina 24 horas;Enzimático - Uricase;- (URIC)COLETA:Coleta de urina de 24 horas:- Ao acordar esvaziar a bexiga, jogando fora esta urina (NÃO armazenar no frasco da coleta). Anotar o horário. Este é o horário de início da coleta.- A partir desse momento coletar todo o volume de todas as urinas e armazenar no frasco próprio até completar 24 horas.- Às 24 horas se completam no horário que esvaziou a bexiga no dia anterior, e não no horário que começou a coletar a urina.- Ao término da coleta de urina, comparecer ao laboratório para a entrega da mesma.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.;- (URIC)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;Ácido úrico é o produto final do catabolismo das purinas. Seus níveis urinários estão diretamente relacionados com a velocidade de formação e capacidade de excreção renal. Alguns outros fatores, como predisposição genética, raça, sexo, idade, peso corporal, ingestão de álcool, diabetes, dislipidemia, dieta e uso de medicamentos também influenciam seus níveis urinários. Sua eliminação está relacionada com a ingesta e o catabolismo das nucleoproteínas. Sua medida na urina tem a finalidade de avaliar pacientes com distúrbios de síntese de ácido úrico e de pacientes formadores de cálculos urinários deste elemento.;;- (URIC)PACIENTE:Não utilizar creme vaginal nas 24 horas que precedem o exame (sexo feminino). Não estar menstruada (sexo feminino).JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
832;GLISU;GLICOSURIA, AMOSTRA 24H;01 dia útil;Glicosúria 24H, Dosagem de glicose na urina 24 horas, Glicose em urina 24H, Glicose na urina 24 horas, Glicose urinária 24H;COLETA163;Urina 24 horas;Colorimétrico - Enzimático;- (GLISU)COLETA:Coleta de urina de 24 horas:- Ao acordar esvaziar a bexiga, jogando fora esta urina (NÃO armazenar no frasco da coleta). Anotar o horário. Este é o horário de início da coleta.- A partir desse momento coletar todo o volume de todas as urinas e armazenar no frasco próprio até completar 24 horas.- Às 24 horas se completam no horário que esvaziou a bexiga no dia anterior, e não no horário que começou a coletar a urina.- Ao término da coleta de urina, comparecer ao laboratório para a entrega da mesma.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.;- (GLISU)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A finalidade deste exame é o monitoramento do metabolismo da glicose. Níveis detectáveis de glicose na urina significa que os níveis plasmáticos excederam o limiar renal da glicose (devido ao fato de que este limiar tenha transitoriamente baixado ou ainda pelas altas concentrações séricas de glicose - o limiar renal situa-se em torno de 175-190 mg/dL). É possível a utilização deste teste em urinas ao acaso e em coletas de tempo marcado (2 horas, 24 horas, por exemplo).  Este exame foi utilizado durante muito tempo para a avaliação do controle glicêmico em pacientes diabéticos. Atualmente, possui uma utilidade bastante reduzida.;;- (GLISU)PACIENTE:Não utilizar creme vaginal nas 24 horas que precedem o exame (sexo feminino). Não estar menstruada (sexo feminino).JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
833;GLISUF;GLICOSURIA FRACIONADA [4 DOSAGENS];02 dias úteis;Glicosúria fracionada 4 períodos, Glicose na urina fracionada (04 dosagens), Dosagem de glicose na urina fracionada;;Urina 24 horas;Colorimétrico - Enzimático;;- (GLISUF)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A finalidade deste exame é o monitoramento do metabolismo da glicose. Níveis detectáveis de glicose na urina significa que os níveis plasmáticos excederam o limiar renal da glicose (devido ao fato de que este limiar tenha transitoriamente baixado ou ainda pelas altas concentrações séricas de glicose - o limiar renal situa-se em torno de 175-190 mg/dL). É possível a utilização deste teste em urinas ao acaso e em coletas de tempo marcado (2 horas, 24 horas, por exemplo).  Este exame foi utilizado durante muito tempo para a avaliação do controle glicêmico em pacientes diabéticos. Atualmente, possui uma utilidade bastante reduzida.;;"- (GLISUF)PACIENTE:Não utilizar creme vaginal nas 24 horas que precedem o exame (sexo feminino). Não estar menstruada (sexo feminino). Informar peso e altura.  Anotar na solicitação a data e hora de início e data e hora do término da coleta de acordo com o período.- Esse exame é realizado por periodos fracionados:1o período: 06:00 às 12:00 horas (frasco 1); 2o período: 12:00 às 18:00 horas (frasco 2); 3o período: 18:00 às 24:00 horas (frasco 3);4o período: 24:00 às 06:00 horas (frasco 4);Identificar os frascos com nome e período.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
834;PROT;PROTEINURIA, 24H;01 dia útil;Proteínas na urina 24 horas, Proteinúria 24 horas, Proteína na urina 24 horas, Proteinúria de 24 horas, Proteína na urina de 24 horas;COLETA163, VOLUME449;Urina 24 horas;Colorimétrico - Vermelho de Pirogalol;"- (PROT)COLETA:Coleta de urina de 24 horas:- Ao acordar esvaziar a bexiga, jogando fora esta urina (NÃO armazenar no frasco da coleta). Anotar o horário. Este é o horário de início da coleta.- A partir desse momento coletar todo o volume de todas as urinas e armazenar no frasco próprio até completar 24 horas.- Às 24 horas se completam no horário que esvaziou a bexiga no dia anterior, e não no horário que começou a coletar a urina.- Ao término da coleta de urina, comparecer ao laboratório para a entrega da mesma.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (PROT)VOLUME MÍNIMO:
5,0 mL.
 ";"- (PROT)ENCAMINHAMENTO:
Refrigerada (2°C-8°C).

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 3 dias.
Congelada (-20°C): 30 dias.
";"A finalidade deste exame é a avaliação de doenças renais. Proteinúria não é uma doença, mas é um marcador indicando a existência de uma anormalidade renal. Quando causada por doença renal ou sistêmica, é acompanhada por outras anormalidades clínicas como: creatinina sérica elevada, sedimento urinário anormal, evidência de enfermidade sistêmica (febre, erupção da pele, vasculite). Principais razões para o desenvolvimento de proteinúria: proteinúria funcional (processo benigno originado por agressores fisiológicos ou psicológicos, tais como enfermidades agudas, exercícios, estresse emocional e proteinúria ortostática); superprodução de proteínas plasmáticas filtráveis circulantes (cadeias leves de imunoglobulinas, associadas com mieloma múltiplo); proteinúria glomerular (resultante de anormalidades na membrana basal glomerular); proteinúria tubular (resultado de reabsorção defeituosa das proteínas filtradas normalmente no túbulo proximal, tendo como causas a presença de necrose tubular aguda, lesão tóxica por chumbo ou aminoglicosídeos e alterações metabólicas hereditárias, como doença de Wilson e síndrome de Fanconi).";;- (PROT)PACIENTE:Exame realizado em urina de 24 horas. Não fazer uso de creme tópico/pomada vaginal nas 24 horas que antecedem ao exame.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
